"id","name","type","city","state","zip"
"61","Boston Preparatory Charter Public (District)","Charter District","Hyde Park","MA","02136"
"62","Boston Renaissance Charter Public (District)","Charter District","Hyde Park","MA","02136"
"63","Bourne","Public School District","Bourne","MA","02532"
"64","Boxborough (non-op)","Public School District","Boxborough","MA","01719"
"65","Boxford","Public School District","Boxford","MA","01921"
"66","Boylston (non-op)","Public School District","Boylston","MA","01505"
"67","Braintree","Public School District","Braintree","MA","02184"
"68","Brewster","Public School District","Orleans","MA","02653"
"69","Bridge Boston Charter School (District)","Charter District","Roxbury","MA","02119"
"70","Bridgewater (non-op)","Public School District","Bridgewater","MA","02324"
"71","Bridgewater-Raynham","Public School District","Bridgewater","MA","02324"
"72","Brimfield","Public School District","Fiskdale","MA","01518"
"73","Bristol County Agricultural","Public School District","Dighton","MA","02715"
"74","Bristol-Plymouth Regional Vocational Technical","Public School District","Taunton","MA","02780"
"75","Brockton","Public School District","Brockton","MA","02301"
"76","Brooke Charter School (District)","Charter District","Roslindale","MA","02131"
"77","Brookfield","Public School District","Fiskdale","MA","01518"
"78","Brookline","Public School District","Brookline","MA","02445"
"79","Buckland (non-op)","Public School District","Shelburne Falls","MA","01370"
"80","Burlington","Public School District","Burlington","MA","01803"
"81","Cambridge","Public School District","Cambridge","MA","02141"
"82","Canton","Public School District","Canton","MA","02021"
"83","Cape Cod Lighthouse Charter (District)","Charter District","East Harwich","MA","02645"
"84","Cape Cod Regional Vocational Technical","Public School District","Harwich","MA","02645"
"85","Carlisle","Public School District","Carlisle","MA","01741"
"86","Carver","Public School District","Carver","MA","02330"
"87","Central Berkshire","Public School District","Dalton","MA","01227"
"88","Charlemont (non-op)","Public School District","Shelburne Falls","MA","01370"
"89","Charlton (non-op)","Public School District","Dudley","MA","01571"
"90","Chatham (non-op)","Public School District","Chatham","MA","02633"
"91","Chelmsford","Public School District","Chelmsford","MA","01824"
"92","Chelsea","Public School District","Chelsea","MA","02150"
"93","Cheshire (non-op)","Public School District","Cheshire","MA","01225"
"94","Chester (non-op)","Public School District","Huntington","MA","01050"
"95","Chesterfield (non-op)","Public School District","Westhampton","MA","01027"
"96","Chesterfield-Goshen","Public School District","Chesterfield","MA","01012"
"97","Chicopee","Public School District","Chicopee","MA","01022"
"98","Chilmark (non-op)","Public School District","Vineyard Haven","MA","02568"
"99","Christa McAuliffe Charter School (District)","Charter District","Framingham","MA","01701"
"100","City on a Hill Charter Public School (District)","Charter District","Roxbury","MA","02119"
