"id","first_name","last_name","bats","throws","weight","height","debut","final_game","birth_year","birth_month","birth_day","birth_city","birth_state","birth_country"
"89","Wes","Fisler","R","R","137","66","1871-05-20","1876-09-16","1843","7","6","Camden","NJ","USA"
"90","William","Johnson","","","","66","1871-05-20","1871-09-12","1848","6","1","Parma","OH","USA"
"91","Al","Barker","","","162","72","1871-06-01","1871-06-01","1839","1","18","Lost Creek","IN","USA"
"92","Dick","Higham","L","R","171","68","1871-06-01","1880-05-25","1851","7","24","Ipswich","Suffolk","United Kingdom"
"93","Dickie","Flowers","","","","","1871-06-03","1872-06-12","1850","","","Philadelphia","PA","USA"
"94","Fergy","Malone","R","L","156","68","1871-06-03","1884-04-17","1844","8","","","Tyrone","Ireland"
"95","Charles","Fulmer","R","R","158","72","1871-06-05","1884-08-16","1851","2","13","Philadelphia","PA","USA"
"96","Warren","White","","","170","70","1871-06-17","1884-06-27","1844","","","Milton","NY","USA"
"97","Charles","Bierman","","","180","72","1871-06-21","1871-06-21","1845","","","Hoboken","NJ","USA"
"98","Bill","Stearns","","R","","","1871-06-26","1875-06-12","1853","3","20","Washington","DC","USA"
"99","George","Ewell","","","160","72","1871-06-26","1871-06-26","1850","10","29","Philadelphia","PA","USA"
"100","Robert","Armstrong","","","160","74","1871-06-26","1871-08-29","1850","7","4","Baltimore","MD","USA"
